"","Anno","Mese","Municipio","Incidenti","Feriti","Morti"
"637",2006,4,6,108,137,0
"638",2006,4,7,115,155,0
"639",2006,4,8,145,209,0
"640",2006,4,9,144,195,1
"641",2006,5,NA,71,102,1
"642",2006,5,1,183,229,0
"643",2006,5,2,99,145,0
"644",2006,5,3,158,210,1
"645",2006,5,4,143,198,1
"646",2006,5,5,140,194,2
"647",2006,5,6,132,165,0
"648",2006,5,7,124,150,0
"649",2006,5,8,191,243,0
"650",2006,5,9,170,246,1
"651",2006,6,NA,62,79,0
"652",2006,6,1,171,213,0
"653",2006,6,2,103,137,0
"654",2006,6,3,171,219,1
"655",2006,6,4,147,195,1
"656",2006,6,5,138,180,4
"657",2006,6,6,114,147,0
"658",2006,6,7,163,216,1
"659",2006,6,8,194,256,0
"660",2006,6,9,202,283,0
"661",2006,7,NA,60,74,0
"662",2006,7,1,157,206,0
"663",2006,7,2,92,121,0
"664",2006,7,3,174,233,1
"665",2006,7,4,123,177,1
"666",2006,7,5,124,165,2
"667",2006,7,6,109,144,0
"668",2006,7,7,141,185,3
"669",2006,7,8,188,249,3
"670",2006,7,9,174,249,4
"671",2006,8,NA,29,40,0
"672",2006,8,1,69,80,0
"673",2006,8,2,59,88,0
"674",2006,8,3,80,109,0
"675",2006,8,4,75,122,0
"676",2006,8,5,54,73,1
"677",2006,8,6,49,71,1
"678",2006,8,7,85,129,1
"679",2006,8,8,74,93,1
"680",2006,8,9,108,175,1
"681",2006,9,NA,50,73,0
"682",2006,9,1,143,180,0
"683",2006,9,2,89,120,1
"684",2006,9,3,171,229,1
"685",2006,9,4,128,186,0
"686",2006,9,5,118,161,1
"687",2006,9,6,107,135,0
"688",2006,9,7,102,137,0
"689",2006,9,8,186,249,1
"690",2006,9,9,169,232,0
"691",2006,10,NA,62,82,0
"692",2006,10,1,173,220,1
"693",2006,10,2,96,121,0
"694",2006,10,3,158,192,1
"695",2006,10,4,162,221,1
"696",2006,10,5,166,224,1
